

//  {“ ATI Vendor ID: 0x1002” “}

// Retail name, ASIC, Device ID

VENDOR ID 1002 
Product ASIC Table

{ “AMD 760G    ,RS780L,      9616”}
{ “ ATI Radeon HD 2900 XT     ,R600 ,       9402”}
{ “ ATI Radeon HD 3200 Graphics ,RS780     ,  9610”}
{ “ ATI Radeon HD 3200 Graphics ,RS780M  ,    9612”}
{ “ ATI Radeon HD 3300 Graphics ,RS780D     ,   9614”}
{ “ ATI Radeon HD 3430,RV620 CE ,  95C7”}
{ “ ATI Radeon HD 3450,RV620 LE  ,  95C5”}
{ “ ATI Radeon HD 3450,RV620 LE AGP  ,    95C6”}
{ “ ATI Radeon HD 3450,RV620    ,   95C9”}
{ “ ATI Radeon HD 3470,RV620 PRO  , 95C0”}
{ “ ATI Radeon HD 3600 Series ,RV635  ,     9590”}
{ “ ATI Radeon HD 3600 Series ,RV635 PRO AGP,       9597”}
{ “ ATI Radeon HD 3600 Series ,RV635 XT    ,  9598”}
{ “ ATI Radeon HD 3600 Series ,RV635 PRO  ,   9599”}
{ “ ATI Radeon HD 3650 AGP    ,RV635 XT AGP   ,     9596”}
{ “ ATI Radeon HD 3830,RV670  ,   9507”}
{ “ ATI Radeon HD 3850,RV670 PRO  , 9505”}
{ “ ATI Radeon HD 3850 AGP    ,RV670 AGP    ,     9515”}
{ “ ATI Radeon HD 3850 X2     ,R680 PRO    ,  9513”}
{ “ ATI Radeon HD 3870,RV670 XT        ,  9501”}
{ “ ATI Radeon HD 3870 X2     ,R680   ,       950F”}
{ “ ATI Radeon HD 4200,RS880   ,    9710”}
{ “ ATI Radeon HD 4350,RV710  ,     954F”}
{ “ ATI Radeon HD 4550,RV710   , 9540”}
{ “ ATI Radeon HD 4600 Series ,RV730 PRO,   9498”}
{ “ ATI Radeon HD 4600 Series ,RV730 XT    ,  9490”}
{ “ ATI Radeon HD 4600 Series ,RV730 PRO AGP,       9495”}
{ “ ATI Radeon HD 4700 Series ,RV770  CE   ,      944E”}
{ “ ATI Radeon HD 4700 Series ,RV740 LE ,     94B4”}
{ “ ATI Radeon HD 4770,RV740 PRO ,  94B3”}
{ “ ATI Radeon HD 4770,RV740 PRO  ,   94B5”}
{ “ ATI Radeon HD 4800 Series ,RV770 XT  ,  9440”}
{ “ ATI Radeon HD 4800 Series ,RV770  PRO ,   9442”}
{ “ ATI Radeon HD 4800 Series ,RV770 LE    ,  944C”}
{ “ ATI Radeon HD 4800 Series ,RV790  XT    ,     9460”}
{ “ ATI Radeon HD 4800 Series ,RV790 GT      ,   9462”}
{ “ ATI Radeon HD 4850 X2     ,R700 PRO        ,  9443”}
{ “ ATI Radeon HD 4870 X2     ,R700 XT    ,       9441”}
{ “ ATI Radeon HD 5700 Series ,EG JUNIPER XT ,  68B8”}
{ “ ATI Radeon HD 5700 Series ,EG JUNIPER LE ,    68BE”}
{ “ ATI Radeon HD 5800 Series ,EG CYPRESS XT  , 6898”}
{ “ ATI Radeon HD 5800 Series ,EG CYPRESS PRO    ,  6899”}


